epoch,lr,time,loss
0,0.001,18:21:31,2.595632603160003
1,1.75625e-05,18:24:19,1.2608816797623006
2,3.5125e-05,18:26:55,0.9185738270817279
3,5.26875e-05,18:29:37,0.8121251700399609
4,7.025e-05,18:32:11,0.7322620200092682
5,8.78125e-05,18:34:39,0.6226696765507668
6,0.000105375,18:37:01,0.5792736977444849
7,0.0001229375,18:39:24,0.5274556496601512
8,0.0001405,18:41:46,0.4734174670167665
9,0.0001580625,18:44:10,0.4482632104400214
10,0.000175625,18:46:33,0.42104557814122945
11,0.0001931875,18:48:55,0.41828695178244035
12,0.00021075,18:51:15,0.39029238460539073
13,0.0002283125,18:53:35,0.3745951435107778
14,0.000245875,18:55:55,0.3835207674904226
15,0.0002634375,18:58:15,0.35234727930555987
16,0.000281,19:00:35,0.3557989132786136
17,0.0002985625,19:02:55,0.3463223132162332
18,0.000316125,19:05:16,0.34038479414062567
19,0.0003336875,19:07:38,0.3279221864993886
20,0.00035125,19:09:59,0.3269485775845331
21,0.0003688125,19:12:22,0.32538719276410405
22,0.000386375,19:14:43,0.32298594877601094
23,0.0004039375,19:17:06,0.31713345925260694
24,0.0004215,19:19:28,0.31135246465214633
25,0.0004390625,19:21:49,0.3092323909397651
26,0.000456625,19:24:11,0.302341814832331
27,0.0004741875,19:26:34,0.3009849787288713
28,0.00049175,19:29:13,0.29960639109284853
29,0.0005093125,19:31:35,0.295480533188136
30,0.000526875,19:33:57,0.2871720137545222
31,0.0005444375,19:36:23,0.29076242775679484
32,0.000562,19:38:43,0.28898344578692076
33,0.0005795625,19:41:04,0.29651178358606595
34,0.000597125,19:43:26,0.28306940821035903
35,0.0006146875,19:45:54,0.2815692442008609
36,0.0006214062356998892,19:48:22,0.2808332207523207
37,0.0006129513351257756,19:50:49,0.2747388612810403
38,0.0006048324159285217,19:53:14,0.28159327977386656
39,0.0005970277997135525,19:55:38,0.27256199457679353
40,0.0005895177171129258,19:58:01,0.2727081070113861
41,0.000582284096941737,20:00:27,0.27358890353996984
42,0.000575310383134957,20:02:50,0.2692972305247368
43,0.0005685813752399919,20:05:16,0.2604681246804597
44,0.0005620830889646409,20:07:39,0.25113213534244866
45,0.0005558026338668836,20:10:04,0.256021506845739
46,0.0005497281057506564,20:12:31,0.2392020986491675
47,0.000543848491722618,20:14:58,0.24436028808143215
48,0.0005381535861861646,20:17:24,0.24088970367594545
49,0.0005326339163141907,20:19:49,0.24008813495101453
50,0.0005272806757619972,20:22:14,0.24060338966256783
51,0.000522085665564822,20:24:38,0.23787497898755972
52,0.0005170412413174643,20:27:01,0.2352982628493971
53,0.0005121402658618125,20:29:26,0.23295502412361607
54,0.0005073760668161282,20:31:51,0.2328023204175603
55,0.0005027423983711996,20:34:16,0.23528877250664598
56,0.0004982334068558313,20:36:40,0.22832708947652175
57,0.0004938435996398943,20:39:03,0.22361939890953145
58,0.0004895678169992426,20:41:28,0.22661702364046804
59,0.0004854012066147704,20:43:52,0.22092217169834627
60,0.0004813392004190223,20:46:17,0.22167507182554844
61,0.00047737749353915737,20:48:41,0.22091145829373832
62,0.0004735120251155774,20:51:03,0.22108651994598294
63,0.0004697389608019125,20:53:24,0.2188828929039083
64,0.00046605467677491685,20:55:45,0.2174744424393593
65,0.0004624557451026892,20:58:07,0.2213336536362502
66,0.0004589389203369241,21:00:28,0.21889227172658113
67,0.0004555011272099922,21:02:49,0.22129191818822747
68,0.0004521394493308424,21:05:10,0.2165830412952501
69,0.00044885111878528635,21:07:33,0.2163637224783677
70,0.0004456335065563794,21:09:57,0.21310114648418493
71,0.000442484113689549,21:12:21,0.21334616723221816
72,0.0004394005631349977,21:14:49,0.21464204639726686
73,0.0004363805922068648,21:17:17,0.22098209125609586
74,0.000433422045604784,21:19:44,0.21596722588526396
75,0.00043052286894893166,21:22:11,0.21893839127122294
76,0.00042768110278450005,21:24:37,0.20901306413670875
77,0.00042489487701583814,21:27:05,0.21604155465377184
78,0.0004221624057343369,21:29:33,0.20872515686572235
79,0.0004194819824075582,21:32:01,0.20535240218944822
80,0.00041685197540016264,21:34:26,0.2083734922455723
81,0.0004142708237999261,21:36:49,0.2066767946734123
82,0.0004117370335245873,21:39:13,0.2083340587618088
83,0.0004092491736874646,21:41:37,0.20768761520814216
84,0.0004068058732017589,21:44:01,0.20707373443023167
85,0.00040440581760523415,21:46:27,0.20869424666056005
86,0.0004020477460885713,21:48:51,0.20724930550598164
87,0.0003997304487121322,21:51:16,0.20827352083238418
88,0.000397452763797179,21:53:39,0.20416614333717847
89,0.00039521357547876897,21:56:03,0.20937479918431556
90,0.0003930118114086172,21:58:28,0.21227895921871756
91,0.0003908464405971841,22:00:52,0.2085387334492707
92,0.00038871647138512467,22:03:16,0.20822860597503567
93,0.0003866209495350325,22:05:40,0.20140911047462892
94,0.0003845589564351391,22:08:03,0.20391593900015345
